image_id,mask_id,step,token_group,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
2149,1,8,apple + green,0.3218981250393746,0.1736491040279099,0.7970150508052325,0.0112656979545402,0.7043478260869566,0.4418594672049342
2149,1,8,apples,0.2702818145634932,0.1448537179302785,0.785121476592632,0.0121541900170538,0.736231884057971,0.3954046325156378
,,,,,,,,,
2149,1_apple,7,green,0.2728278398363751,0.1831930735580857,0.8105638080661833,0.0112123144086821,0.7536231884057971,0.4006219115888408
,,,,,,,,,
2149,1_apple,8,apples,0.2702818145634932,0.1448537179302785,0.785121476592632,0.0121541900170538,0.736231884057971,0.3954046325156378
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
2149,3,20,apple + inside + bowl,0.0824157760839988,0.0485053121222476,0.7192802305814184,0.0119897855401958,0.9188405797101448,0.1512638776993737
2149,3,20,bowl,0.0893578692591418,0.0497842783268565,0.7036467673460582,0.0136146911711912,0.9159420289855073,0.1628302722758695
,,,,,,,,,
2149,3_apple_first,8,apples,0.1976960320552062,0.1234591397534623,0.1985873268185302,0.1203837513943645,0.736231884057971,0.3116945529512389
,,,,,,,,,
2149,3_bowl_second,20,bowl,0.0893988058679608,0.0498073930457409,0.7036293632933415,0.0136188215326604,0.9159420289855073,0.1628982347016997
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
7784,2,6,kite + flying,0.0794965436285378,0.0620376916047381,0.1175282040059051,0.0877428485049489,0.6709401709401709,0.1421503600125377
7784,2,6,flying,0.0794965436285378,0.0620376916047381,0.1175282040059051,0.0877428485049489,0.6709401709401709,0.1421503600125377
,,,,,,,,,
7784,2_kite,6,flying,0.0794965436285378,0.0620376916047381,0.1175282040059051,0.0877428485049489,0.6709401709401709,0.1421503600125377
,,,,,,,,,
7784,2_kite,6,flying,0.0794965436285378,0.0620376916047381,0.1175282040059051,0.0877428485049489,0.6709401709401709,0.1421503600125377
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
7784,1,20,kite + white,0.2583257598707462,0.175453711681165,0.2199068192818476,0.1010770476233648,0.7692307692307693,0.3867663089080829
7784,1,20,white,0.2583257598707462,0.175453711681165,0.2199068192818476,0.1010770476233648,0.7692307692307693,0.3867663089080829
,,,,,,,,,
7784,1_kite,20,white,0.2583257598707462,0.175453711681165,0.2199068192818476,0.1010770476233648,0.7692307692307693,0.3867663089080829
,,,,,,,,,
7784,1_kite,20,white,0.2583257598707462,0.175453711681165,0.2199068192818476,0.1010770476233648,0.7692307692307693,0.3867663089080829
